# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-2.824350551000812277e-09,1.000000000000000000e+02
1.000000000000000021e-02,2.259480440800650070e-09,1.000000000000000000e+00,-1.255695380846443823e-03,-6.412219405161451441e-06,9.999901900000070043e+01
2.000000000000000042e-02,3.177724399025633195e-02,1.000000000000000000e+00,-6.151283279022775816e-03,-4.450333544966300549e-05,9.999705706218962575e+01
2.999999999999999889e-02,9.591671801853994539e-02,1.000000000000000000e+00,-1.732271208514320898e-02,-1.656489178919048010e-04,9.999411439551927572e+01
4.000000000000000083e-02,1.930699240216721957e-01,1.000000000000000000e+00,-3.738329488642111453e-02,-4.484813971828235544e-04,9.999019136206089797e+01
5.000000000000000278e-02,3.239007032780569229e-01,1.000000000000000000e+00,-6.893818279815028260e-02,-9.987233945034992844e-04,9.998528847448064028e+01
5.999999999999999778e-02,4.890880647960618166e-01,1.000000000000000000e+00,-1.145852020004250044e-01,-1.949085742610767074e-03,9.997940639343134706e+01
7.000000000000000666e-02,6.893263411379335626e-01,1.000000000000000000e+00,-1.769141751044716881e-01,-3.459156945308761513e-03,9.997254592458905620e+01
8.000000000000000167e-02,9.253250459159456653e-01,1.000000000000000000e+00,-2.585059689881817335e-01,-5.715274804352495422e-03,9.996470801530209371e+01
8.999999999999999667e-02,1.197808675035803683e+00,1.000000000000000000e+00,-3.619315173633467775e-01,-8.930378403268079621e-03,9.995589375085050676e+01
1.000000000000000056e-01,1.507516499999518533e+00,1.000000000000000000e+00,-4.897508860248629414e-01,-1.334384024891160404e-02,9.994610435031968620e+01
1.100000000000000006e-01,1.855202366610430920e+00,1.000000000000000000e+00,-6.445124025643528265e-01,-1.922127887458100620e-02,9.993534116209281137e+01
1.199999999999999956e-01,2.241634503566445336e+00,1.000000000000000000e+00,-8.287518576939019166e-01,-2.685435243255715823e-02,9.992360565896662195e+01
1.300000000000000044e-01,2.667595342683108495e+00,1.000000000000000000e+00,-1.044991779987251235e+00,-3.656053395321583188e-02,9.991089943289443909e+01
1.400000000000000133e-01,3.133881351558211126e+00,1.000000000000000000e+00,-1.295740783722352907e+00,-4.868286908396714935e-02,9.989722418935936332e+01
1.499999999999999944e-01,3.641302879205432053e+00,1.000000000000000000e+00,-1.583492988629486842e+00,-6.358971726470387387e-02,9.988258174137958179e+01
1.600000000000000033e-01,4.190684015154975128e+00,1.000000000000000000e+00,-1.910727509983541017e+00,-8.167447745330030928e-02,9.986697400314690753e+01
1.700000000000000122e-01,4.782862462597441855e+00,1.000000000000000000e+00,-2.279908017325549263e+00,-1.033552996851869743e-01,9.985040298329839459e+01
1.799999999999999933e-01,5.418689426293807898e+00,1.000000000000000000e+00,-2.693482360019604727e+00,-1.290747839324425938e-01,9.983287077782017604e+01
1.900000000000000022e-01,6.099029516126106110e+00,1.000000000000000000e+00,-3.153882257779220932e+00,-1.592996679159206785e-01,9.981437956258135102e+01
2.000000000000000111e-01,6.824760667342040676e+00,1.000000000000000000e+00,-3.663523054197768580e+00,-1.945205057133883864e-01,9.979493158549500720e+01
2.099999999999999922e-01,7.596774078702347666e+00,1.000000000000000000e+00,-4.224803531174167404e+00,-2.352513391917230856e-01,9.977452915830215829e+01
2.200000000000000011e-01,8.415974169901378588e+00,1.000000000000000000e+00,-4.840105781931912432e+00,-2.820293644657606569e-01,9.975317464797373646e+01
2.300000000000000100e-01,9.283278559753320280e+00,1.000000000000000000e+00,-5.511795140088532996e+00,-3.354145957442984938e-01,9.973087046772447195e+01
2.399999999999999911e-01,1.019961806675706306e+01,1.000000000000000000e+00,-6.242220161951264501e+00,-3.959895290590445538e-01,9.970761906763151217e+01
2.500000000000000000e-01,1.116593673373677653e+01,1.000000000000000000e+00,-7.033712658905053594e+00,-4.643588084793754955e-01,9.968342292484975076e+01
